City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Bilma,NE,2021-04-20 19:49:29,18.6853,12.9164,90.99,7,0,7.96
166,Simao,CN,2021-04-20 19:49:29,22.7886,100.9748,61.3,55,0,0.87
167,Tanggulangin,ID,2021-04-20 19:49:30,-7.4996,112.6999,77.0,83,20,4.61
168,Sao Filipe,CV,2021-04-20 19:49:30,14.8961,-24.4956,73.49,72,100,14.81
169,Gushi,CN,2021-04-20 19:49:30,34.6425,109.5843,55.89,92,100,5.53
170,Barrow,US,2021-04-20 19:49:31,71.2906,-156.7887,14.0,79,1,17.27
171,Kaseda,JP,2021-04-20 19:49:31,31.4167,130.3167,58.5,76,0,4.36
172,Saint-Francois,FR,2021-04-20 19:49:32,46.4154,3.9054,55.4,54,0,3.44
173,Marsh Harbour,BS,2021-04-20 19:49:32,26.5412,-77.0636,81.05,73,100,16.91
174,Bilibino,RU,2021-04-20 19:49:32,68.0546,166.4372,17.92,79,64,3.31
175,San Policarpo,PH,2021-04-20 19:49:32,12.1791,125.5072,76.37,88,100,7.23
176,Ozernovskiy,RU,2021-04-20 19:49:33,51.5,156.5167,35.98,89,18,10.31
177,Alice Springs,AU,2021-04-20 19:45:45,-23.7,133.8833,48.2,53,0,4.61
178,Nanortalik,GL,2021-04-20 19:49:33,60.1432,-45.2371,34.75,75,100,8.55
179,Bay City,US,2021-04-20 19:49:34,43.5945,-83.8889,41.0,48,90,8.05
180,Anloga,GH,2021-04-20 19:49:34,5.7947,0.8973,84.2,84,20,9.22
181,Yablonovo,RU,2021-04-20 19:49:34,50.8523,37.3574,41.0,93,75,11.18
182,Norman Wells,CA,2021-04-20 19:49:35,65.282,-126.8329,35.6,69,20,23.02
183,Bambous Virieux,MU,2021-04-20 19:49:35,-20.3428,57.7575,77.0,94,75,6.69
184,Caravelas,BR,2021-04-20 19:49:35,-17.7125,-39.2481,78.4,75,97,5.17
185,Sambava,MG,2021-04-20 19:49:36,-14.2667,50.1667,75.72,91,100,13.42
186,Senanga,ZM,2021-04-20 19:49:36,-16.1167,23.2667,65.53,55,83,5.75
187,Mangan,IN,2021-04-20 19:49:36,27.5167,88.5333,67.3,73,83,4.65
188,Yar-Sale,RU,2021-04-20 19:49:37,66.8333,70.8333,10.85,97,100,5.23
189,Bredasdorp,ZA,2021-04-20 19:49:37,-34.5322,20.0403,63.0,79,100,4.0
190,Lakes Entrance,AU,2021-04-20 19:49:38,-37.8811,147.981,46.0,86,85,1.01
191,Launceston,AU,2021-04-20 19:49:38,-41.45,147.1667,34.0,86,1,3.44
192,Dingle,PH,2021-04-20 19:49:39,10.9995,122.6711,76.75,84,100,6.15
193,Kundiawa,PG,2021-04-20 19:49:39,-6.0167,144.9667,61.43,95,100,2.73
194,Karratha,AU,2021-04-20 19:49:39,-20.7377,116.8463,75.65,50,2,5.57
195,Mehamn,NO,2021-04-20 19:49:40,71.0357,27.8492,41.0,65,0,20.71
196,Vila Velha,BR,2021-04-20 19:46:38,-20.3297,-40.2925,79.0,73,75,5.75
197,Yushu,CN,2021-04-20 19:49:40,44.8,126.5333,45.61,24,8,7.34
198,Sistranda,NO,2021-04-20 19:49:40,63.7256,8.834,42.8,87,75,10.36
199,Gari,RU,2021-04-20 19:49:41,59.4307,62.3497,34.93,81,7,6.13
200,Partizanskoye,RU,2021-04-20 19:49:41,55.5006,94.39,15.62,84,15,11.14
201,Pangnirtung,CA,2021-04-20 19:49:42,66.1451,-65.7125,19.4,86,90,2.3
202,Paredon,MX,2021-04-20 19:49:42,16.0333,-93.8667,90.23,46,37,10.98
203,Umea,SE,2021-04-20 19:48:54,63.8284,20.2597,39.0,93,0,2.3
204,Bure,ET,2021-04-20 19:49:42,10.7,37.0667,66.74,45,95,2.75
205,Motygino,RU,2021-04-20 19:49:43,58.1831,94.7592,17.24,96,100,2.24
206,Tessalit,ML,2021-04-20 19:49:43,20.1986,1.0114,87.08,4,87,5.82
207,Asaka,JP,2021-04-20 19:49:44,35.8047,139.6019,63.0,43,2,10.29
208,Ribeira Grande,PT,2021-04-20 19:49:44,38.5167,-28.7,64.4,88,75,17.27
209,Port Hedland,AU,2021-04-20 19:49:44,-20.3167,118.5667,69.8,64,40,8.05
210,Port Elizabeth,ZA,2021-04-20 19:49:45,-33.918,25.5701,64.4,88,20,10.36
211,Joshimath,IN,2021-04-20 19:49:45,30.5667,79.5667,51.8,92,100,3.09
