City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
147,Tharad,IN,78.51,few clouds,24.3961,71.6267,Shree Nandan Couriyar Service
148,Singkang,MY,77.0,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
156,Kanodar,IN,76.06,scattered clouds,24.1,72.3833,Chaudhary Complex
157,Kihei,US,84.2,scattered clouds,20.785,-156.4656,Maui Sunset
160,Maningrida,AU,79.97,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
161,Paracuru,BR,82.0,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
171,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
177,Amahai,ID,79.3,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
179,Kavieng,PG,83.14,light rain,-2.5744,150.7967,Nusa Island Retreat
180,San Policarpo,PH,77.99,overcast clouds,12.1791,125.5072,JM Lodge
183,Floriano,BR,75.24,overcast clouds,-6.7669,-43.0225,Hotel Maktub
194,Port-Gentil,GA,80.6,few clouds,-0.7193,8.7815,Fengshui Residence
196,Bushehr,IR,78.04,broken clouds,28.9684,50.8385,Yas Hotel
199,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
207,Lubao,PH,80.6,overcast clouds,14.9167,120.55,Hacienda Gracia
213,Montalvo,EC,78.78,light rain,-1.8,-79.3333,Motel Los Laureles
216,Namatanai,PG,84.0,overcast clouds,-3.6667,152.4333,Namatanai Hotel
224,San Fernando,PH,78.8,overcast clouds,15.0286,120.6898,Maharlika Hostel
230,Badiraguato,MX,89.01,clear sky,25.3667,-107.5167,"Hotel ""Real Del Campo"""
233,Daru,PG,76.98,overcast clouds,-9.0763,143.2092,Daru Lodge
234,Veraval,IN,79.56,overcast clouds,20.9,70.3667,Lords Inn Somnath
235,Trat,TH,76.37,scattered clouds,12.5,102.5,สวนหนิง-อัศ
239,Adrar,MR,82.87,overcast clouds,20.5022,-10.0711,
242,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
251,Blackwater,AU,75.58,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
255,Cap Malheureux,MU,75.99,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
258,Mangrol,IN,79.54,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
259,Manuk Mangkaw,PH,80.92,overcast clouds,4.8,119.85,
