City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Description
130,Rusape,-18.5278,32.1284,51.73,overcast clouds,88,98,4.23,ZW,overcast clouds
131,Hovd,48.0056,91.6419,37.33,scattered clouds,65,31,4.34,MN,scattered clouds
132,Payakumbuh,-0.2202,100.6308,69.78,overcast clouds,96,94,1.83,ID,overcast clouds
133,Ahipara,-35.1667,173.1667,67.21,few clouds,79,18,5.64,NZ,few clouds
134,Caconda,-13.7333,15.0667,62.64,broken clouds,54,82,2.59,AO,broken clouds
135,Colac,-38.3333,143.5833,46.0,broken clouds,1,61,4.0,AU,broken clouds
136,Wanning,18.8003,110.3967,77.32,broken clouds,83,84,8.23,CN,broken clouds
137,Mar Del Plata,-38.0023,-57.5575,68.0,few clouds,88,20,12.66,AR,few clouds
138,Vila Franca Do Campo,37.7167,-25.4333,60.8,scattered clouds,100,40,12.66,PT,scattered clouds
139,Korla,41.7597,86.1469,61.05,broken clouds,31,60,2.66,CN,broken clouds
140,Victoria,22.2855,114.1577,73.0,broken clouds,80,76,1.01,HK,broken clouds
141,Saint-Philippe,-21.3585,55.7679,77.0,moderate rain,88,75,10.36,RE,moderate rain
142,Severo-Kurilsk,50.6789,156.125,34.79,overcast clouds,95,100,21.07,RU,overcast clouds
143,Takoradi,4.8845,-1.7554,81.14,overcast clouds,81,89,4.94,GH,overcast clouds
144,Muroto,33.2833,134.15,64.4,clear sky,63,0,4.61,JP,clear sky
145,Provideniya,64.3833,-173.3,30.2,clear sky,59,0,4.47,RU,clear sky
146,Dikson,73.5069,80.5464,7.68,overcast clouds,92,100,20.4,RU,overcast clouds
147,Tharad,24.3961,71.6267,78.51,few clouds,39,17,6.15,IN,few clouds
148,Singkang,2.1006,102.7994,77.0,few clouds,94,20,1.14,MY,few clouds
149,Husavik,66.0449,-17.3389,41.0,broken clouds,56,75,10.36,IS,broken clouds
150,Brae,60.3964,-1.353,41.0,broken clouds,70,75,17.27,GB,broken clouds
151,Leningradskiy,69.3833,178.4167,34.75,broken clouds,69,61,6.85,RU,broken clouds
152,Kuryk,43.2,51.65,62.87,overcast clouds,50,91,28.3,KZ,overcast clouds
153,Cidreira,-30.1811,-50.2056,69.64,scattered clouds,76,25,16.98,BR,scattered clouds
154,Vardo,70.3705,31.1107,44.6,clear sky,53,0,8.05,NO,clear sky
155,Saskylakh,71.9167,114.0833,-9.85,overcast clouds,99,91,2.04,RU,overcast clouds
156,Kanodar,24.1,72.3833,76.06,scattered clouds,50,49,6.6,IN,scattered clouds
157,Kihei,20.785,-156.4656,84.2,scattered clouds,54,40,11.5,US,scattered clouds
158,Luzhou,28.8724,105.4405,63.63,overcast clouds,89,100,1.86,CN,overcast clouds
159,Toktogul,41.8708,72.9402,48.24,moderate rain,90,100,2.19,KG,moderate rain
160,Maningrida,-12.0667,134.2667,79.97,scattered clouds,78,50,3.42,AU,scattered clouds
161,Paracuru,-3.41,-39.0306,82.0,scattered clouds,73,41,7.0,BR,scattered clouds
162,Filingue,14.3521,3.3168,92.52,scattered clouds,18,28,9.57,NE,scattered clouds
163,Hermanus,-34.4187,19.2345,60.01,overcast clouds,88,100,1.99,ZA,overcast clouds
164,Itupiranga,-5.1347,-49.3267,74.26,broken clouds,89,65,2.48,BR,broken clouds
165,Tygda,53.1167,126.3333,38.05,clear sky,32,9,10.92,RU,clear sky
166,Bhadra,29.1167,75.1667,71.89,overcast clouds,51,98,5.26,IN,overcast clouds
167,Tandil,-37.3217,-59.1332,64.99,clear sky,82,4,1.99,AR,clear sky
168,Guangyuan,32.442,105.823,56.7,overcast clouds,92,100,1.7,CN,overcast clouds
169,Soddy-Daisy,35.2359,-85.1908,71.01,scattered clouds,40,38,1.99,US,scattered clouds
170,Haines Junction,60.7522,-137.5108,48.2,broken clouds,43,55,10.36,CA,broken clouds
